footprint_id,footprint_type,eligible_for_patch_observational_evaluation,review_only,decision
S16AFP_00316,official_flood_footprint,true,true,eligible_review_only
S16AFP_00317,official_flood_footprint,true,true,eligible_review_only
S16AFP_00318,official_risk_context,false,true,blocked_or_context
S16AFP_00319,official_flood_footprint,false,true,blocked_or_context
S16AFP_00320,official_flood_footprint,false,true,blocked_or_context
S16AFP_00321,official_flood_footprint,false,true,blocked_or_context
S16AFP_00322,official_flood_footprint,false,true,blocked_or_context
S16AFP_00323,official_flood_footprint,false,true,blocked_or_context
S16AFP_00324,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00325,insufficient,false,true,blocked_or_context
S16AFP_00326,insufficient,false,true,blocked_or_context
S16AFP_00327,insufficient,false,true,blocked_or_context
S16AFP_00328,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00329,insufficient,false,true,blocked_or_context
S16AFP_00330,insufficient,false,true,blocked_or_context
S16AFP_00331,insufficient,false,true,blocked_or_context
S16AFP_00332,insufficient,false,true,blocked_or_context
S16AFP_00333,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00334,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00335,official_flood_footprint,false,true,blocked_or_context
S16AFP_00336,official_flood_footprint,false,true,blocked_or_context
S16AFP_00337,insufficient,false,true,blocked_or_context
S16AFP_00338,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00339,official_flood_footprint,false,true,blocked_or_context
S16AFP_00340,official_flood_footprint,false,true,blocked_or_context
S16AFP_00341,insufficient,false,true,blocked_or_context
S16AFP_00342,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00343,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00344,insufficient,false,true,blocked_or_context
S16AFP_00345,insufficient,false,true,blocked_or_context
S16AFP_00346,insufficient,false,true,blocked_or_context
S16AFP_00347,insufficient,false,true,blocked_or_context
S16AFP_00348,insufficient,false,true,blocked_or_context
S16AFP_00349,insufficient,false,true,blocked_or_context
S16AFP_00350,insufficient,false,true,blocked_or_context
S16AFP_00351,insufficient,false,true,blocked_or_context
S16AFP_00352,official_flood_footprint,false,true,blocked_or_context
S16AFP_00353,insufficient,false,true,blocked_or_context
S16AFP_00354,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00355,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00356,insufficient,false,true,blocked_or_context
S16AFP_00357,insufficient,false,true,blocked_or_context
S16AFP_00358,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00359,official_risk_context,false,true,blocked_or_context
S16AFP_00360,official_flood_footprint,false,true,blocked_or_context
S16AFP_00361,official_flood_footprint,false,true,blocked_or_context
S16AFP_00362,official_flood_footprint,false,true,blocked_or_context
S16AFP_00363,insufficient,false,true,blocked_or_context
S16AFP_00364,insufficient,false,true,blocked_or_context
S16AFP_00365,insufficient,false,true,blocked_or_context
S16AFP_00366,insufficient,false,true,blocked_or_context
S16AFP_00367,official_flood_footprint,false,true,blocked_or_context
S16AFP_00368,official_flood_footprint,false,true,blocked_or_context
S16AFP_00369,official_flood_footprint,false,true,blocked_or_context
S16AFP_00370,insufficient,false,true,blocked_or_context
S16AFP_00371,official_flood_footprint,false,true,blocked_or_context
S16AFP_00372,official_flood_footprint,false,true,blocked_or_context
S16AFP_00373,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00374,official_flood_footprint,false,true,blocked_or_context
S16AFP_00375,official_flood_footprint,false,true,blocked_or_context
S16AFP_00376,official_flood_footprint,false,true,blocked_or_context
S16AFP_00377,official_flood_footprint,false,true,blocked_or_context
S16AFP_00378,official_flood_footprint,false,true,blocked_or_context
S16AFP_00379,official_flood_footprint,false,true,blocked_or_context
S16AFP_00380,official_flood_footprint,false,true,blocked_or_context
S16AFP_00381,official_flood_footprint,false,true,blocked_or_context
S16AFP_00382,official_flood_footprint,false,true,blocked_or_context
S16AFP_00383,official_flood_footprint,false,true,blocked_or_context
S16AFP_00384,insufficient,false,true,blocked_or_context
S16AFP_00385,official_flood_footprint,false,true,blocked_or_context
S16AFP_00386,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00387,official_flood_footprint,false,true,blocked_or_context
S16AFP_00388,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00389,insufficient,false,true,blocked_or_context
S16AFP_00390,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00391,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00392,official_flood_footprint,false,true,blocked_or_context
S16AFP_00393,insufficient,false,true,blocked_or_context
S16AFP_00394,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00395,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00396,insufficient,false,true,blocked_or_context
S16AFP_00397,insufficient,false,true,blocked_or_context
S16AFP_00398,insufficient,false,true,blocked_or_context
S16AFP_00399,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00400,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00401,insufficient,false,true,blocked_or_context
S16AFP_00402,insufficient,false,true,blocked_or_context
S16AFP_00403,insufficient,false,true,blocked_or_context
S16AFP_00404,insufficient,false,true,blocked_or_context
S16AFP_00405,insufficient,false,true,blocked_or_context
S16AFP_00406,official_risk_context,false,true,blocked_or_context
S16AFP_00407,insufficient,false,true,blocked_or_context
