outlier_score_id,experiment_id,unified_patch_id,outlier_score,outlier_rank,outlier_reason,review_only
S18B_OUT_00290,EXP05_outlier_distance_to_centroid,S18A_PATCH_0290,3.266775,124,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00291,EXP05_outlier_distance_to_centroid,S18A_PATCH_0291,2.676595,190,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00292,EXP05_outlier_distance_to_centroid,S18A_PATCH_0292,2.535037,208,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00293,EXP05_outlier_distance_to_centroid,S18A_PATCH_0293,2.578058,205,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00294,EXP05_outlier_distance_to_centroid,S18A_PATCH_0294,5.517842,47,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00295,EXP05_outlier_distance_to_centroid,S18A_PATCH_0295,2.104317,260,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00296,EXP05_outlier_distance_to_centroid,S18A_PATCH_0296,2.587304,203,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00297,EXP05_outlier_distance_to_centroid,S18A_PATCH_0297,4.279344,79,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00298,EXP05_outlier_distance_to_centroid,S18A_PATCH_0298,4.232102,83,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00299,EXP05_outlier_distance_to_centroid,S18A_PATCH_0299,2.007975,272,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00300,EXP05_outlier_distance_to_centroid,S18A_PATCH_0300,2.086011,262,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00301,EXP05_outlier_distance_to_centroid,S18A_PATCH_0301,9.024346,16,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00302,EXP05_outlier_distance_to_centroid,S18A_PATCH_0302,4.422862,74,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00303,EXP05_outlier_distance_to_centroid,S18A_PATCH_0303,3.887752,91,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00304,EXP05_outlier_distance_to_centroid,S18A_PATCH_0304,7.368907,25,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00305,EXP05_outlier_distance_to_centroid,S18A_PATCH_0305,6.829259,33,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00306,EXP05_outlier_distance_to_centroid,S18A_PATCH_0306,5.348221,50,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00307,EXP05_outlier_distance_to_centroid,S18A_PATCH_0307,9.741496,14,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00308,EXP05_outlier_distance_to_centroid,S18A_PATCH_0308,8.551014,20,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00309,EXP05_outlier_distance_to_centroid,S18A_PATCH_0309,15.504711,1,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00310,EXP05_outlier_distance_to_centroid,S18A_PATCH_0310,11.895953,5,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00311,EXP05_outlier_distance_to_centroid,S18A_PATCH_0311,10.980111,9,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00312,EXP05_outlier_distance_to_centroid,S18A_PATCH_0312,10.336102,12,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
