scene_index_stat_id,candidate_patch_id,scene_or_item_id,scene_date,index_name,stat_name,stat_value,cloud_cover,source_artifact_manifest_id,feature_value_real,pre_event_only,review_only,trainable,ground_truth
S17C24_SINDEX_0080,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,MNDWI,min,-0.544931,60.5460,S17C24_MANIFEST_0007_A,true,true,true,false,false
S17C24_SINDEX_0081,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,MNDWI,max,0.186498,60.5460,S17C24_MANIFEST_0007_A,true,true,true,false,false
S17C24_SINDEX_0082,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDBI,mean,-0.077395,60.5460,S17C24_MANIFEST_0007_A,true,true,true,false,false
S17C24_SINDEX_0083,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDBI,min,-0.507365,60.5460,S17C24_MANIFEST_0007_A,true,true,true,false,false
S17C24_SINDEX_0084,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDBI,max,0.332655,60.5460,S17C24_MANIFEST_0007_A,true,true,true,false,false
S17C24_SINDEX_0085,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDVI,mean,0.042805,75.0099,S17C24_MANIFEST_0008_A,true,true,true,false,false
S17C24_SINDEX_0086,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDVI,min,-0.086667,75.0099,S17C24_MANIFEST_0008_A,true,true,true,false,false
S17C24_SINDEX_0087,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDVI,max,0.265836,75.0099,S17C24_MANIFEST_0008_A,true,true,true,false,false
S17C24_SINDEX_0088,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDWI,mean,-0.006345,75.0099,S17C24_MANIFEST_0008_A,true,true,true,false,false
S17C24_SINDEX_0089,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDWI,min,-0.150026,75.0099,S17C24_MANIFEST_0008_A,true,true,true,false,false
S17C24_SINDEX_0090,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDWI,max,0.050768,75.0099,S17C24_MANIFEST_0008_A,true,true,true,false,false
S17C24_SINDEX_0091,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,MNDWI,mean,0.151196,75.0099,S17C24_MANIFEST_0008_A,true,true,true,false,false
S17C24_SINDEX_0092,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,MNDWI,min,-0.001949,75.0099,S17C24_MANIFEST_0008_A,true,true,true,false,false
S17C24_SINDEX_0093,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,MNDWI,max,0.305956,75.0099,S17C24_MANIFEST_0008_A,true,true,true,false,false
S17C24_SINDEX_0094,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDBI,mean,-0.157383,75.0099,S17C24_MANIFEST_0008_A,true,true,true,false,false
S17C24_SINDEX_0095,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDBI,min,-0.326931,75.0099,S17C24_MANIFEST_0008_A,true,true,true,false,false
S17C24_SINDEX_0096,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDBI,max,-0.010766,75.0099,S17C24_MANIFEST_0008_A,true,true,true,false,false
S17C24_SINDEX_0097,S17C6_CANARY_REC_00003,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDVI,mean,0.149909,79.7725,S17C24_MANIFEST_0009_A,true,true,true,false,false
S17C24_SINDEX_0098,S17C6_CANARY_REC_00003,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDVI,min,-0.109244,79.7725,S17C24_MANIFEST_0009_A,true,true,true,false,false
S17C24_SINDEX_0099,S17C6_CANARY_REC_00003,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDVI,max,0.820539,79.7725,S17C24_MANIFEST_0009_A,true,true,true,false,false
S17C24_SINDEX_0100,S17C6_CANARY_REC_00003,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDWI,mean,-0.121921,79.7725,S17C24_MANIFEST_0009_A,true,true,true,false,false
S17C24_SINDEX_0101,S17C6_CANARY_REC_00003,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDWI,min,-0.724628,79.7725,S17C24_MANIFEST_0009_A,true,true,true,false,false
S17C24_SINDEX_0102,S17C6_CANARY_REC_00003,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDWI,max,0.081229,79.7725,S17C24_MANIFEST_0009_A,true,true,true,false,false
S17C24_SINDEX_0103,S17C6_CANARY_REC_00003,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,MNDWI,mean,-0.060093,79.7725,S17C24_MANIFEST_0009_A,true,true,true,false,false
S17C24_SINDEX_0104,S17C6_CANARY_REC_00003,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,MNDWI,min,-0.636699,79.7725,S17C24_MANIFEST_0009_A,true,true,true,false,false
S17C24_SINDEX_0105,S17C6_CANARY_REC_00003,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,MNDWI,max,0.258312,79.7725,S17C24_MANIFEST_0009_A,true,true,true,false,false
S17C24_SINDEX_0106,S17C6_CANARY_REC_00003,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDBI,mean,-0.065002,79.7725,S17C24_MANIFEST_0009_A,true,true,true,false,false
S17C24_SINDEX_0107,S17C6_CANARY_REC_00003,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDBI,min,-0.474194,79.7725,S17C24_MANIFEST_0009_A,true,true,true,false,false
S17C24_SINDEX_0108,S17C6_CANARY_REC_00003,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDBI,max,0.393842,79.7725,S17C24_MANIFEST_0009_A,true,true,true,false,false
