file_path,matched_terms,region_guess,evidence_type_guess,has_date_guess,has_geometry_guess,candidate_status,notes
outputs_public/logs_summary/arquivo_etapas/revp_curitiba_v2ca_v2cg_guardrail_rollup_v2ch.csv,Curitiba,curitiba,unknown,false,false,methodological_reference,offline keyword scan; review-only; not ground truth
outputs_public/logs_summary/arquivo_etapas/revp_curitiba_v2ca_v2cg_test_rollup_v2ch.csv,Curitiba;evento,curitiba,unknown,false,false,documentary_context,offline keyword scan; review-only; not ground truth
outputs_public/logs_summary/arquivo_etapas/revp_external_evidence_license_hash_rollup_v2cp.csv,CPRM;Curitiba;Petropolis;Recife;SGB,multi,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/logs_summary/arquivo_etapas/revp_external_evidence_regional_guardrails_v2cw.csv,Curitiba,curitiba,unknown,false,false,methodological_reference,offline keyword scan; review-only; not ground truth
outputs_public/logs_summary/arquivo_etapas/v2av_patch_boundary_geometry_builder.txt,Recife,recife,unknown,false,true,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/logs_summary/arquivo_etapas/v2aw_geometry_source_intake.txt,Recife,recife,unknown,false,true,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/logs_summary/arquivo_etapas/v2ay_event_scope_reconciliation_turning_point.txt,Recife,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/logs_summary/arquivo_etapas/v2bc_recife_gis_digitization_workbench.txt,Recife,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/metrics/ablation_or_sensitivity_summary.csv,Curitiba;GeoCuritiba;Recife,multi,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/metrics/dino_cluster_summary.csv,Curitiba;Petropolis;Recife;evento,multi,unknown,false,false,documentary_context,offline keyword scan; review-only; not ground truth
outputs_public/metrics/dino_robustness_summary.csv,Curitiba;Petrópolis;Recife,multi,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/metrics/readiness_summary.csv,ANA,unknown,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/metrics/revp_auditoria_critica_banca_marco_mv1.json,flood,recife,flood,true,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/metrics/revp_auditoria_prontidao_temporal_assets_mv1.json,ANA;Curitiba;Petrópolis;Recife,multi,unknown,true,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/metrics/revp_auditoria_reprodutibilidade_externa_marco_mv1.json,ANA;APAC;CEMADEN;Curitiba;GeoCuritiba;Petropolis;SGB;evento;flood,multi,flood,true,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/metrics/revp_curadoria_evidencias_externas_mv1.json,ANA;Curitiba;Defesa Civil;Petropolis;Recife;alagamento;evento;flood,multi,flood,false,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/metrics/revp_fechamento_downloads_evidencias_externas_mv1.json,ANA;APAC;CEMADEN;Curitiba;evento;flood;inundacao,multi,flood,false,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/metrics/revp_fechamento_marco_validacao_label_free_evidencia_estrutural_mv1.json,ANA;Curitiba;evento;inundacao,multi,flood,false,false,documentary_context,offline keyword scan; review-only; not ground truth
outputs_public/metrics/revp_integracao_final_marco_mv1_maturidade_revisao_humana.json,ANA;Curitiba;evento;flood,curitiba,flood,false,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/metrics/revp_integracao_marco_label_free_evidencias_externas_mv1.json,ANA;APAC;CEMADEN;Curitiba;evento;flood;inundacao,multi,flood,false,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/metrics/revp_integracao_marco_label_free_evidencias_externas_navegacao_mv1.json,ANA;APAC;CEMADEN;Curitiba;GeoCuritiba;SGB;evento;flood;inundacao,multi,flood,false,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/metrics/revp_navegacao_downloads_evidencias_externas_mv1.json,ANA;APAC;CEMADEN;CPRM;Curitiba;GeoCuritiba;Petropolis;Recife;SGB;evento;flood;inundacao,multi,flood,false,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/metrics/revp_normalizacao_evidencias_externas_publicas_mv1.json,Curitiba;evento;flood;ocorrencia,multi,flood,true,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/metrics/revp_normalized_temporal_asset_manifest_mv1.json,Curitiba;Petropolis;Recife,multi,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/metrics/revp_plano_stage_seletivo_marco_mv1.json,Curitiba;evento;flood,curitiba,flood,true,false,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/metrics/revp_protocolo_ground_truth_fail_closed_mv1.json,ANA;Curitiba;evento;inundação,multi,flood,false,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/metrics/revp_temporal_acquisition_gap_plan_mv1.json,Curitiba;Petropolis;Recife,multi,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/metrics/revp_temporal_asset_backfill_queue_mv1.json,ANA;APAC;CEMADEN;Curitiba;Petropolis;Petrópolis;Recife;protocolo_c,multi,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/metrics/revp_temporal_asset_readiness_mv1.json,ANA;APAC;CEMADEN;Curitiba;Petropolis;Petrópolis;Recife;evento;protocolo_c,multi,unknown,false,false,documentary_context,offline keyword scan; review-only; not ground truth
outputs_public/metrics/revp_temporal_backfill_request_manifest_mv1.json,Curitiba;Petropolis;Recife,multi,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/metrics/revp_temporal_metadata_repair_candidates_mv1.json,ANA;APAC;CEMADEN;Curitiba;Petropolis;Petrópolis;Recife;evento;protocolo_c,multi,unknown,false,false,documentary_context,offline keyword scan; review-only; not ground truth
outputs_public/metrics/revp_validacao_label_free_evidencia_estrutural_mv1.json,Curitiba;Petrópolis;Recife;inundação,multi,flood,true,false,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/model/NO_OPERATIONAL_TRAINED_MODEL.md,ANA;inundacao,recife,flood,false,false,documentary_context,offline keyword scan; review-only; not ground truth
outputs_public/mv2_cronograma_engine/MV2_15_CRONOGRAMA_ENGINE_REPORT.md,ANA;Petropolis,multi,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/mv2_cronograma_engine/mv2_15_schedule_state.csv,ANA,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/mv2_data_api_raster_harness/commands.txt,ANA,unknown,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/mv2_data_api_raster_harness/mv2_data_02_api_config.example.json,ANA,unknown,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/mv2_data_api_raster_harness/mv2_data_02_api_lineage_resolution.csv,ANA;Curitiba;Petropolis;Recife,multi,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/mv2_data_api_raster_harness/mv2_data_02_api_provider_registry.csv,ANA,unknown,unknown,false,true,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/mv2_data_api_raster_harness/MV2_DATA_02_API_RASTER_HARNESS_REPORT.md,ANA;CPRM;Petrópolis,multi,unknown,true,true,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/mv2_data_api_raster_harness/mv2_data_02_api_raster_risk_matrix.csv,ANA,unknown,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/mv2_data_api_raster_harness/MV2_DATA_02_EXECUTIVE_SUMMARY.md,ANA,petropolis,unknown,true,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/mv2_data_api_raster_harness/mv2_data_02_private_raster_validation.csv,ANA,unknown,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/mv2_data_api_raster_harness/mv2_data_02_raster_canary_execution_manifest.csv,ANA;CPRM,petropolis,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/mv2_data_api_raster_harness/mv2_data_02_raster_canary_plan.csv,ANA;CPRM,petropolis,unknown,true,true,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/mv2_data_api_raster_harness/mv2_data_02_summary.json,ANA,unknown,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/mv2_data_corpus_metadata_probe/commands.txt,ANA;evento,unknown,unknown,false,false,needs_manual_review,offline keyword scan; review-only; not ground truth
outputs_public/mv2_data_corpus_metadata_probe/mv2_data_04_corpus_api_lineage_resolution.csv,Curitiba;Petropolis;Recife;evento,multi,unknown,false,false,documentary_context,offline keyword scan; review-only; not ground truth
outputs_public/mv2_data_corpus_metadata_probe/mv2_data_04_corpus_metadata_batch.csv,ANA;Curitiba;Petropolis;Recife,multi,unknown,false,true,not_event_evidence,offline keyword scan; review-only; not ground truth
