local_geometry_id,source_path,region,municipality,source_name,source_type,event_type,event_date,event_period_start,event_period_end,geometry_type,lat,lon,bbox,wkt,geojson_ref,crs,evidence_tier,source_confidence,parse_confidence,is_direct_event_geometry,is_flood_footprint,is_risk_area,is_susceptibility_reference,calibration_eligible_candidate,review_only,notes
S16ALOCG_00111,PROJECT_ROOT/data/raw/curitiba/sgb_cprm/mde_extracted/01.MDS_Hipsometria/mdt.aux.xml,curitiba,curitiba,mdt.aux.xml,non_event_context,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00112,PROJECT_ROOT/data/raw/curitiba/sgb_cprm/mde_extracted/01.MDS_Hipsometria/mdt5_s_rio.ovr.aux.xml,curitiba,curitiba,mdt5_s_rio.ovr.aux.xml,non_event_context,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00113,PROJECT_ROOT/data/raw/curitiba/sgb_cprm/mde_extracted/02.Declividade/declividade.aux.xml,curitiba,curitiba,declividade.aux.xml,non_event_context,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00114,PROJECT_ROOT/data/raw/curitiba/sgb_cprm/mde_extracted/02.Declividade/fatiamento.aux.xml,curitiba,curitiba,fatiamento.aux.xml,non_event_context,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00115,PROJECT_ROOT/data/raw/curitiba/sgb_cprm/mde_extracted/03.RelevoSombreado/sombra.aux.xml,curitiba,curitiba,sombra.aux.xml,non_event_context,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00116,PROJECT_ROOT/data/raw/curitiba/sgb_cprm/mde_extracted/01.MDS_Hipsometria/mdt/metadata.xml,curitiba,curitiba,metadata.xml,non_event_context,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00117,PROJECT_ROOT/data/raw/curitiba/sgb_cprm/mde_extracted/02.Declividade/declividade/metadata.xml,curitiba,curitiba,metadata.xml,non_event_context,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00118,PROJECT_ROOT/data/raw/curitiba/sgb_cprm/mde_extracted/02.Declividade/fatiamento/metadata.xml,curitiba,curitiba,metadata.xml,non_event_context,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00119,PROJECT_ROOT/data/raw/curitiba/sgb_cprm/mde_extracted/03.RelevoSombreado/sombra/metadata.xml,curitiba,curitiba,metadata.xml,non_event_context,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00120,PROJECT_ROOT/data/raw/petropolis/geinea_rj25/geinea_gln_hidrografia_sem_canal_25k_metadata.json,petropolis,petropolis,geinea_gln_hidrografia_sem_canal_25k_metadata.json,non_event_context,context,,,,Feature Layer,,,,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
