reference_feature_id,region,source_id,feature_type,name,normalized_name,neighborhood,normalized_neighborhood,geometry_type,lat,lon,bbox,wkt,geojson_ref,crs,source_confidence,parse_confidence,review_only
S14AFEAT_000279,recife,S14AREF_0012,address_point,"Rua Monsenhor João Olimpio dos Santos, nº S/N",rua monsenhor joao olimpio dos santos s n,Ibura,ibura,point,-8.108611,-34.942622,-34.942622;-8.108611;-34.942622;-8.108611,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000280,recife,S14AREF_0012,address_point,"Rua Monsenhor João Olimpio dos Santos, nº 93",rua monsenhor joao olimpio dos santos,Ibura,ibura,point,-8.10862,-34.942595,-34.942595;-8.10862;-34.942595;-8.10862,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000281,recife,S14AREF_0012,address_point,"Rua 4ª TRAV. IRAKITAN,Nº 533",rua trav irakitan,Jordão,jordao,point,-8.136664,-34.940734,-34.940734;-8.136664;-34.940734;-8.136664,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000282,recife,S14AREF_0012,address_point,"Rua 4ª TRAV. IRAKITAN,Nº 531",rua trav irakitan,Jordão,jordao,point,-8.136682,-34.940725,-34.940725;-8.136682;-34.940725;-8.136682,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000283,recife,S14AREF_0012,address_point,"Rua 4ª TRAV. IRAKITAN,Nº 09",rua trav irakitan,Jordão,jordao,point,-8.136573,-34.940743,-34.940743;-8.136573;-34.940743;-8.136573,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000284,recife,S14AREF_0012,address_point,"Rua 4ª TRAV. IRAKITAN,Nº 10",rua trav irakitan,Jordão,jordao,point,-8.136582,-34.940752,-34.940752;-8.136582;-34.940752;-8.136582,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000285,recife,S14AREF_0012,address_point,"Rua 4ª TRAV. IRAKITAN,Nº 539A",rua trav irakitan,Jordão,jordao,point,-8.136682,-34.940689,-34.940689;-8.136682;-34.940689;-8.136682,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000286,recife,S14AREF_0012,address_point,"Rua 4ª TRAV. IRAKITAN,Nº 535A",rua trav irakitan,Jordão,jordao,point,-8.136664,-34.94058,-34.94058;-8.136664;-34.94058;-8.136664,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000287,recife,S14AREF_0012,address_point,"Rua 4ª TRAV. IRAKITAN,Nº 532",rua trav irakitan,Jordão,jordao,point,-8.136692,-34.940544,-34.940544;-8.136692;-34.940544;-8.136692,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000288,recife,S14AREF_0012,address_point,"Rua 4ª TRAV. IRAKITAN,Nº 525",rua trav irakitan,Jordão,jordao,point,-8.136592,-34.940507,-34.940507;-8.136592;-34.940507;-8.136592,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000289,recife,S14AREF_0012,address_point,"Rua 4ª TRAV. IRAKITAN,Nº 521",rua trav irakitan,Jordão,jordao,point,-8.136783,-34.940372,-34.940372;-8.136783;-34.940372;-8.136783,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000290,recife,S14AREF_0012,address_point,"Rua 4ª TRAV. IRAKITAN,Nº 535B",rua trav irakitan,Jordão,jordao,point,-8.13689,-34.940581,-34.940581;-8.13689;-34.940581;-8.13689,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
