candidate_id,source_id,source_path_or_ref,candidate_type,raw_value,normalized_value,inferred_sensor,inferred_tile,inferred_datetime,inferred_cloud_cover,inferred_asset_id,inferred_patch_id,inferred_region,extraction_method,extraction_confidence,evidence_snippet,notes
MV2_14_CAND_00011,MV2_14_SRC_0005,local_runs/protocolo_c/v1iv/v1iv_sentinel_scene_search.csv,scene_id,20220207T130239_20220207T130241_T23KPR,20220207T130239_20220207T130241_T23KPR,S2_MSI,23KPR,2022-02-07,93.996811,,,,csv_structured_row,HIGH,collection=COPERNICUS/S2_SR_HARMONIZED;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00012,MV2_14_SRC_0005,local_runs/protocolo_c/v1iv/v1iv_sentinel_scene_search.csv,scene_id,20220212T130251_20220212T130247_T23KPR,20220212T130251_20220212T130247_T23KPR,S2_MSI,23KPR,2022-02-12,94.734615,,,,csv_structured_row,HIGH,collection=COPERNICUS/S2_SR_HARMONIZED;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00013,MV2_14_SRC_0006,local_runs/protocolo_c/v1iv/v1iv_summary.json,scene_id,20220304T130251_20220304T130743_T23KPR,20220304T130251_20220304T130743_T23KPR,S2_MSI,,,,,,,text_regex,LOW,scene_id_in_text,candidato textual; nunca vira verdade sem fonte estruturada
MV2_14_CAND_00014,MV2_14_SRC_0007,local_runs/protocolo_c/v1ix/v1ix_anchor_patch_manifest_local.csv,scene_id,20220202T130251_20220202T130247_T23KPR,20220202T130251_20220202T130247_T23KPR,S2_MSI,,2022-02-02,90.359181,,REFPATCH_PET2022_CPRM_MOINHO_PRETO_S2_V1IX_PRE_EVENT,PET,csv_structured_row,HIGH,collection=COPERNICUS/S2_SR_HARMONIZED;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00015,MV2_14_SRC_0007,local_runs/protocolo_c/v1ix/v1ix_anchor_patch_manifest_local.csv,scene_id,20220304T130251_20220304T130743_T23KPR,20220304T130251_20220304T130743_T23KPR,S2_MSI,,2022-03-04,2.394584,,REFPATCH_PET2022_CPRM_MOINHO_PRETO_S2_V1IX_POST_EVENT_SURVEY,PET,csv_structured_row,HIGH,collection=COPERNICUS/S2_SR_HARMONIZED;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00016,MV2_14_SRC_0008,local_runs/protocolo_c/v1ix/v1ix_reference_patch_pair_readiness.csv,scene_id,20220202T130251_20220202T130247_T23KPR,20220202T130251_20220202T130247_T23KPR,S2_MSI,,2022-02-02,90.359181,,REFPATCH_PET2022_CPRM_MOINHO_PRETO_S2_V1IX_PRE_EVENT,PET,csv_structured_row,HIGH,collection=COPERNICUS/S2_SR_HARMONIZED;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00017,MV2_14_SRC_0008,local_runs/protocolo_c/v1ix/v1ix_reference_patch_pair_readiness.csv,scene_id,20220304T130251_20220304T130743_T23KPR,20220304T130251_20220304T130743_T23KPR,S2_MSI,,2022-03-04,2.394584,,REFPATCH_PET2022_CPRM_MOINHO_PRETO_S2_V1IX_POST_EVENT_SURVEY,PET,csv_structured_row,HIGH,collection=COPERNICUS/S2_SR_HARMONIZED;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00018,MV2_14_SRC_0009,local_runs/protocolo_c/v1ix/v1ix_selected_scene_decision.csv,scene_id,20220202T130251_20220202T130247_T23KPR,20220202T130251_20220202T130247_T23KPR,S2_MSI,,2022-02-02,90.359181,,,,csv_structured_row,HIGH,collection=;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00019,MV2_14_SRC_0009,local_runs/protocolo_c/v1ix/v1ix_selected_scene_decision.csv,scene_id,20220304T130251_20220304T130743_T23KPR,20220304T130251_20220304T130743_T23KPR,S2_MSI,,2022-03-04,2.394584,,,,csv_structured_row,HIGH,collection=;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00020,MV2_14_SRC_0010,local_runs/protocolo_c/v1ix/v1ix_sentinel2_scene_search.csv,scene_id,20220304T130251_20220304T130743_T23KPR,20220304T130251_20220304T130743_T23KPR,S2_MSI,23KPR,2022-03-04,2.394584,,,,csv_structured_row,HIGH,collection=COPERNICUS/S2_SR_HARMONIZED;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00021,MV2_14_SRC_0010,local_runs/protocolo_c/v1ix/v1ix_sentinel2_scene_search.csv,scene_id,20220222T130251_20220222T130249_T23KPR,20220222T130251_20220222T130249_T23KPR,S2_MSI,23KPR,2022-02-22,23.29967,,,,csv_structured_row,HIGH,collection=COPERNICUS/S2_SR_HARMONIZED;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00022,MV2_14_SRC_0010,local_runs/protocolo_c/v1ix/v1ix_sentinel2_scene_search.csv,scene_id,20220227T130249_20220227T130319_T23KPR,20220227T130249_20220227T130319_T23KPR,S2_MSI,23KPR,2022-02-27,25.231126,,,,csv_structured_row,HIGH,collection=COPERNICUS/S2_SR_HARMONIZED;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00023,MV2_14_SRC_0010,local_runs/protocolo_c/v1ix/v1ix_sentinel2_scene_search.csv,scene_id,20220217T130239_20220217T130240_T23KPR,20220217T130239_20220217T130240_T23KPR,S2_MSI,23KPR,2022-02-17,25.807485,,,,csv_structured_row,HIGH,collection=COPERNICUS/S2_SR_HARMONIZED;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00024,MV2_14_SRC_0010,local_runs/protocolo_c/v1ix/v1ix_sentinel2_scene_search.csv,scene_id,20220202T130251_20220202T130247_T23KPR,20220202T130251_20220202T130247_T23KPR,S2_MSI,23KPR,2022-02-02,90.359181,,,,csv_structured_row,HIGH,collection=COPERNICUS/S2_SR_HARMONIZED;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
